name,classes,affiliations
Abothas,"Controller;Shooter","Krognar;Torin"
Allandir,"Shooter","Ista;Torin"
Aria,"Controller;Shooter","Grul;Torin"
Asbrand,"Enhancer;Tank","Bruelin;Avatar"
Aschell,"Shooter","Tomas;Torin"
Bale & Sarna,"Bruiser;Soulist","Bruelin;Grul"
Barnascus,"Bruiser;Shooter",Bruelin;Ista"
Bastian,"Enhancer","Torin;Avatar"
Brok,"Bruiser","Ista;Bruelin"
Carva,"Controller;Tank",Grul;Avatar"
Cradol,"Bruiser;Enhancer","Bruelin;Krognar"
Doenregar,"Tank","Grul;Ista"
Drelgoth,"Bruiser","Bruelin;Grul"
Fazeal,"Assassin;Controller","Tomas;Avatar"
Gendris,"Controller;Shooter","Grul;Avatar"
Grael,"Enhancer;Soulist","Krognar;Torin"
Haksa,"Controller;Enhancer","Ista;Torin"
Isabel,"Bruiser;Enhancer","Ista;Avatar"
Istariel,"Sniper","Ista;Torin"
Jaegar,"Controller;Shooter","Torin;Krognar"
Kain,"Bruiser;Shooter","Krognar;Tomas"
Kogan,"Bruiser;Shooter","Krognar;Bruelin"
Kruul,"Bruiser;Soulist","Bruelin;Krognar"
Kvarto,"Bruiser;Controller","Bruelin;Krognar"
Loribela,Controller;Enhancer","Ista;Grul"
Lugdrug,"Enhancer;Tank","Bruelin;Krognar"
Maltique,"Controller;Sniper","ALL"
Marcus,"Controller;Tank","Ista;Tomas"
Masuzi,"Controller;Soulist","Tomas;Torin"
Naias,"Controller;Soulist","Krognar;Torin"
Nephenee,"Assassin","Ista;Tomas"
Onkura,"Controller;Tank","Tomas;Torin"
Piper,"Bruiser;Shooter","Krognar;Grul"
Rakkir,"Assassin","Tomas;Krognar"
Ramona,"Controller;Enhancer","Grul;Krognar"
Ravenos,"Controller;Tank","Torin;Tomas"
Saiyin,"Enhancer;Soulist","Ista;Tomas"
Sharn,"Bruiser;Tank","Tomas;Grul"
Skoll,"Bruiser;Tank","Krognar;Bruelin"
Skye,"Bruiser;Enhancer","Tomas;Torin"
Styx,"Controller;Soulist","Torin;Krognar"
Svetlana,"Controller;Soulist","Grul;Ista"
Thorgar,"Bruiser","Grul;Bruelin"
Thrommel,"Bruiser;Tank","Ista;Torin"
Urvexis,"Assassin","Torin;Avatar"
Viktor,"Controller;Shooter","Krognar;Tomas"
Xyvera,"Controller;Soulist","Torin;Grul"
Yasmin,"Enhancer;Shooter","Ista;Bruelin"
Yorgawth,"Bruiser","Grul;Krognar"
Zaffen,"Sniper","Grul;Bruelin"
Zaron,"Controller;Soulist","Krognar;Avatar"
Zhim'gigrak,"Controller;Shooter","Tomas;Torin"
Zhonyja,"Assassin","Bruelin;Avatar"
